numentre,satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst,confianza_binaria
620,4,3,6,3,0,10,1
621,3,1,2,3,0,"8,3125",1
623,2,3,2,3,0,"6,625",0
624,4,3,4,3,0,"7,75",0
625,3,3,2,5,0,"8,875",1
627,4,1,4,5,0,"8,3125",1
628,3,1,3,3,0,"7,75",0
629,2,1,6,4,0,"8,3125",1
630,4,3,2,3,0,"8,3125",1
631,3,1,5,4,0,"6,625",0
634,4,1,4,4,0,10,1
635,3,1,4,4,0,10,1
636,4,3,4,3,0,10,1
639,1,1,6,2,0,10,1
640,3,1,4,3,30,"7,1875",0
641,3,1,4,4,0,"8,875",1
642,3,2,6,4,0,"9,4375",1
643,4,2,4,4,30,"7,75",0
644,4,1,6,3,30,10,1
646,1,1,4,3,30,"6,625",0
647,2,3,4,3,0,"7,1875",0
648,3,3,2,3,0,"8,875",1
649,3,1,4,2,30,"6,0625",0
650,3,2,4,3,50,"9,4375",1
651,1,1,6,4,0,"8,3125",1
652,3,2,4,3,0,10,1
653,4,1,2,5,0,10,1
654,4,1,4,5,0,"9,4375",1
656,4,1,4,4,0,10,1
657,3,3,4,4,50,"8,875",1
658,3,2,2,3,0,"8,3125",1
659,4,1,1,4,0,10,1
661,4,1,4,3,50,10,1
663,3,1,4,4,30,"6,0625",0
664,1,3,4,1,50,"4,9375",0
665,1,3,3,1,50,"8,3125",1
666,3,1,2,4,0,"8,3125",1
667,4,1,4,1,50,"8,875",1
670,3,1,4,3,0,"6,0625",0
671,3,3,4,4,0,10,1
672,4,1,4,4,0,"7,75",0
673,3,1,4,3,0,"7,75",0
674,3,3,4,3,0,"9,4375",1
675,3,3,3,4,30,"7,1875",0
676,3,2,4,5,0,"7,1875",0
677,3,1,4,3,0,"7,75",0
678,4,3,6,3,50,10,1
679,2,2,6,2,0,"6,625",0
680,3,3,4,3,0,"7,75",0
681,2,1,1,2,0,10,1
682,4,1,5,5,0,10,1
683,3,1,4,1,0,"7,1875",0
684,4,3,4,5,0,10,1
685,2,3,3,3,0,10,1
686,4,1,4,3,0,"8,875",1
687,2,1,6,5,50,"9,4375",1
688,3,2,4,4,30,"9,4375",1
689,4,1,6,1,0,"9,4375",1
690,1,1,4,4,0,"3,25",0
692,1,3,4,4,30,"3,25",0
693,2,3,6,4,30,"9,4375",1
694,3,1,4,5,50,"8,3125",1
695,3,3,3,2,0,"7,1875",0
696,4,1,4,3,0,10,1
697,4,1,5,3,30,"7,75",0
698,3,3,4,4,0,"8,3125",1
699,3,3,4,4,0,"9,4375",1
700,3,3,4,3,0,"7,75",0
701,1,3,4,1,30,"6,625",0
703,2,1,4,4,0,"5,5",0
704,3,1,6,2,0,"3,25",0
705,1,1,6,4,30,"4,375",0
706,4,3,6,3,0,"9,4375",1
